epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2556.74,1.27814,0.76723,0.00508,0.89373,0.87412,0.93163,0.63955,1.09951,0.52762,0.00514,0.000266553,0.000266553,0.0669474
2,5025.59,1.08462,0.46412,0.00424,0.90693,0.91507,0.9619,0.68335,1.01165,0.39579,0.00457,0.000528821,0.000528821,0.0338763
3,7441.95,1.01382,0.42271,0.00394,0.92487,0.91346,0.95385,0.68991,0.98132,0.37575,0.00444,0.000786689,0.000786689,0.000800837
4,9862.51,0.96652,0.38877,0.00367,0.92842,0.91628,0.96312,0.71355,0.91642,0.37981,0.00427,0.0007802,0.0007802,0.0007802
5,12263.2,0.92347,0.37033,0.00349,0.93183,0.92107,0.96371,0.72684,0.86197,0.36492,0.00382,0.0007736,0.0007736,0.0007736
6,14675.4,0.90342,0.36119,0.00341,0.92579,0.93368,0.96744,0.74162,0.8471,0.34096,0.0038,0.000767,0.000767,0.000767
7,17077,0.878,0.34531,0.00332,0.93972,0.93717,0.96889,0.74346,0.82672,0.31337,0.00375,0.0007604,0.0007604,0.0007604
8,19517,0.85224,0.33615,0.00322,0.94915,0.92072,0.96779,0.74446,0.8138,0.31663,0.00361,0.0007538,0.0007538,0.0007538
9,21974.4,0.82991,0.31774,0.00311,0.93945,0.94531,0.97223,0.76624,0.76558,0.29059,0.00338,0.0007472,0.0007472,0.0007472
10,24506.6,0.81741,0.3066,0.00307,0.94706,0.94513,0.97362,0.7694,0.75731,0.29682,0.00335,0.0007406,0.0007406,0.0007406
11,26974.5,0.79905,0.30346,0.00299,0.95415,0.95306,0.98531,0.78203,0.7408,0.2699,0.00323,0.000734,0.000734,0.000734
12,29417.4,0.77903,0.29594,0.00292,0.95738,0.94712,0.97601,0.7822,0.71462,0.27306,0.00317,0.0007274,0.0007274,0.0007274
13,31850.9,0.76776,0.28643,0.00289,0.95279,0.96006,0.98322,0.78857,0.69555,0.26138,0.00307,0.0007208,0.0007208,0.0007208
14,34339.1,0.75226,0.28163,0.00283,0.95772,0.94126,0.97476,0.79017,0.68594,0.27259,0.00303,0.0007142,0.0007142,0.0007142
15,36819.4,0.73863,0.27395,0.00278,0.95454,0.96163,0.98317,0.80192,0.66019,0.24718,0.00294,0.0007076,0.0007076,0.0007076
16,39257.3,0.71997,0.26196,0.00271,0.96213,0.9651,0.98667,0.80624,0.6542,0.23279,0.00289,0.000701,0.000701,0.000701
