split,image_path,xml_path,object_name,before,after,reason
train,/Users/sam/Desktop/aiolearn/My_projects/CLPR/Datasets/DS_model_2/train/00006.jpg,/Users/sam/Desktop/aiolearn/My_projects/CLPR/Datasets/DS_model_2/train/00006.xml,پ,"(134.0, 57.0, 200.0, 153.0)","(134, 57, 200, 152)",Tiny overflow clamped: max_overflow=1.000px
train,/Users/sam/Desktop/aiolearn/My_projects/CLPR/Datasets/DS_model_2/train/00119.jpg,/Users/sam/Desktop/aiolearn/My_projects/CLPR/Datasets/DS_model_2/train/00119.xml,5,"(23.0, 2.0, 40.0, 37.0)","(23, 2, 40, 36)",Tiny overflow clamped: max_overflow=1.000px
train,/Users/sam/Desktop/aiolearn/My_projects/CLPR/Datasets/DS_model_2/train/00706.jpg,/Users/sam/Desktop/aiolearn/My_projects/CLPR/Datasets/DS_model_2/train/00706.xml,1,"(413.0, 65.0, 457.0, 140.0)","(413, 65, 457, 139)",Tiny overflow clamped: max_overflow=1.000px
train,/Users/sam/Desktop/aiolearn/My_projects/CLPR/Datasets/DS_model_2/train/01310_1.jpg,/Users/sam/Desktop/aiolearn/My_projects/CLPR/Datasets/DS_model_2/train/01310_1.xml,9,"(308.0, 27.0, 355.0, 111.0)","(308, 27, 355, 109)",Tiny overflow clamped: max_overflow=2.000px
train,/Users/sam/Desktop/aiolearn/My_projects/CLPR/Datasets/DS_model_2/train/01573.jpg,/Users/sam/Desktop/aiolearn/My_projects/CLPR/Datasets/DS_model_2/train/01573.xml,5,"(156.0, 7.0, 185.0, 65.0)","(156, 7, 185, 63)",Tiny overflow clamped: max_overflow=2.000px
train,/Users/sam/Desktop/aiolearn/My_projects/CLPR/Datasets/DS_model_2/train/01573.jpg,/Users/sam/Desktop/aiolearn/My_projects/CLPR/Datasets/DS_model_2/train/01573.xml,2,"(189.0, 18.0, 217.0, 65.0)","(189, 18, 217, 63)",Tiny overflow clamped: max_overflow=2.000px
train,/Users/sam/Desktop/aiolearn/My_projects/CLPR/Datasets/DS_model_2/train/01573.jpg,/Users/sam/Desktop/aiolearn/My_projects/CLPR/Datasets/DS_model_2/train/01573.xml,2,"(216.0, 18.0, 244.0, 64.0)","(216, 18, 244, 63)",Tiny overflow clamped: max_overflow=1.000px
train,/Users/sam/Desktop/aiolearn/My_projects/CLPR/Datasets/DS_model_2/train/01590_1.jpg,/Users/sam/Desktop/aiolearn/My_projects/CLPR/Datasets/DS_model_2/train/01590_1.xml,3,"(503.0, 35.0, 558.0, 121.0)","(503, 35, 558, 119)",Tiny overflow clamped: max_overflow=2.000px
train,/Users/sam/Desktop/aiolearn/My_projects/CLPR/Datasets/DS_model_2/train/01627.jpg,/Users/sam/Desktop/aiolearn/My_projects/CLPR/Datasets/DS_model_2/train/01627.xml,1,"(900.0, 98.0, 981.0, 279.0)","(900, 98, 981, 278)",Tiny overflow clamped: max_overflow=1.000px
train,/Users/sam/Desktop/aiolearn/My_projects/CLPR/Datasets/DS_model_2/train/02780.jpg,/Users/sam/Desktop/aiolearn/My_projects/CLPR/Datasets/DS_model_2/train/02780.xml,5,"(201.0, 19.0, 226.0, 56.0)","(201, 19, 226, 54)",Tiny overflow clamped: max_overflow=2.000px
train,/Users/sam/Desktop/aiolearn/My_projects/CLPR/Datasets/DS_model_2/train/02803.jpg,/Users/sam/Desktop/aiolearn/My_projects/CLPR/Datasets/DS_model_2/train/02803.xml,9,"(125.0, 46.0, 200.0, 214.0)","(125, 46, 200, 213)",Tiny overflow clamped: max_overflow=1.000px
train,/Users/sam/Desktop/aiolearn/My_projects/CLPR/Datasets/DS_model_2/train/03025.jpg,/Users/sam/Desktop/aiolearn/My_projects/CLPR/Datasets/DS_model_2/train/03025.xml,ی,"(83.0, 5.0, 129.0, 54.0)","(83, 5, 129, 53)",Tiny overflow clamped: max_overflow=1.000px
