,precision,recall,f1-score,support
0,0.9900990099009901,1.0,0.9950248756218906,100.0
1,1.0,1.0,1.0,100.0
2,1.0,1.0,1.0,100.0
3,1.0,1.0,1.0,100.0
4,1.0,1.0,1.0,100.0
5,0.9900990099009901,1.0,0.9950248756218906,100.0
6,1.0,1.0,1.0,100.0
7,1.0,1.0,1.0,100.0
8,1.0,1.0,1.0,100.0
9,1.0,1.0,1.0,100.0
D,1.0,1.0,1.0,11.0
S,1.0,1.0,1.0,1.0
الف,1.0,1.0,1.0,100.0
ب,1.0,1.0,1.0,100.0
ت,1.0,1.0,1.0,100.0
ث,1.0,1.0,1.0,78.0
ج,1.0,0.99,0.9949748743718593,100.0
د,1.0,1.0,1.0,100.0
ز,1.0,1.0,1.0,49.0
س,1.0,1.0,1.0,100.0
ص,1.0,0.99,0.9949748743718593,100.0
ط,1.0,1.0,1.0,100.0
ع,1.0,1.0,1.0,100.0
ق,1.0,1.0,1.0,100.0
ل,1.0,1.0,1.0,100.0
م,1.0,1.0,1.0,100.0
ن,1.0,1.0,1.0,100.0
و,1.0,1.0,1.0,100.0
پ,1.0,1.0,1.0,100.0
ی,1.0,1.0,1.0,100.0
♿︎,1.0,1.0,1.0,100.0
ﻫ,1.0,1.0,1.0,100.0
accuracy,0.9993194964273563,0.9993194964273563,0.9993194964273563,0.9993194964273563
macro avg,0.9993811881188119,0.999375,0.9993749843746094,2939.0
weighted avg,0.9993262340864915,0.9993194964273563,0.9993194794143415,2939.0
