class_idx,class_name,total,correct,accuracy
0,0,100,100,1.0
1,1,100,100,1.0
2,2,100,100,1.0
3,3,100,100,1.0
4,4,100,100,1.0
5,5,100,100,1.0
6,6,100,100,1.0
7,7,100,100,1.0
8,8,100,100,1.0
9,9,100,100,1.0
10,D,11,11,1.0
11,S,1,1,1.0
12,الف,100,100,1.0
13,ب,100,100,1.0
14,ت,100,100,1.0
15,ث,78,78,1.0
16,ج,100,99,0.99
17,د,100,100,1.0
18,ز,49,49,1.0
19,س,100,100,1.0
20,ص,100,99,0.99
21,ط,100,100,1.0
22,ع,100,100,1.0
23,ق,100,100,1.0
24,ل,100,100,1.0
25,م,100,100,1.0
26,ن,100,100,1.0
27,و,100,100,1.0
28,پ,100,100,1.0
29,ی,100,100,1.0
30,♿︎,100,100,1.0
31,ﻫ,100,100,1.0
